am,y,ciiu3,publicidad,ventas,hombres,mujeres,kw
4,1984,322,3078.5,114292.5,19,79.5,167059.5
5,1984,322,413.8472222222222,42913.97222222222,10.083333,44.166668,62487.86111111111
6,1984,322,114.1666666666667,23986,3.1944444,25.083334,37432.13888888889
7,1984,322,900.8245614035088,63581.54385964912,14.368421,63.719299,64140.61403508772
8,1984,322,48.5,10787.33333333333,5.6666665,13.5,29034
9,1984,322,76.33928571428571,22048.03571428571,9.125,27.625,42473.26785714286
1,1984,323,402.3170731707317,111043.512195122,35.195122,32.512196,208472.9512195122
2,1984,323,949,798143,150.2,34.400002,1836614.4
3,1984,323,217.2962962962963,108244.8888888889,43.370369,17.666666,338090.8518518519
5,1984,323,173,879111,249.5,10,1996313
6,1984,323,749.3333333333334,46263.33333333334,5,43.333332,59598.66666666666
7,1984,323,500,159974.6666666667,73.333336,7.3333335,340166.6666666667
8,1984,323,58,86181,40,3,272400
9,1984,323,37.6,33967.7,15.2,2.9000001,93052
1,1984,324,496.3392857142857,54952.85714285715,26.25,25.607143,46687.91071428572
2,1984,324,231.3333333333333,41432.375,25.083334,22.666666,66189.91666666667
3,1984,324,1244.538461538461,82320.89743589744,31.487179,22.384615,214006.9487179487
4,1984,324,81744,1578946,315,249,2108118
5,1984,324,1574.875,81051.125,35.875,22.75,86765.375
6,1984,324,61.26666666666667,16774.02222222222,12.244445,8,19724
7,1984,324,50.42857142857143,47117.57142857143,30.857143,17.285715,86611.42857142857
8,1984,324,1067,92931,62,65,147826
9,1984,324,329.2888888888889,36059.91111111111,21.755556,14.133333,66304.48888888888
1,1984,331,174.7222222222222,45522.52777777778,26.888889,7.9166665,93121.11111111111
2,1984,331,63.9,24028.9,19.5,2.5,62162.4
3,1984,331,78.7,29575.25,24.674999,3.45,87736.77499999999
4,1984,331,355,36567.5,25.5,5.5,158221.75
5,1984,331,1677.347826086957,240557.6086956522,64.565216,8.217391,974092.7391304348
6,1984,331,51.09090909090909,16077.27272727273,14.636364,1.9090909,86897.54545454546
7,1984,331,2.333333333333334,13984,29.666666,2,43258.33333333334
8,1984,331,32.45454545454545,21966.72727272727,15.454545,2.2727273,40147.90909090909
9,1984,331,244.5517241379311,49233.44827586207,23.068966,3.1034484,241469.1034482759
1,1984,332,452.948275862069,56236.55172413793,44.413792,11.810345,98886.43103448275
2,1984,332,80.75,11041.91666666667,14.083333,3.25,16175.75
3,1984,332,133.2058823529412,27458.91176470588,25.705883,7.7352943,60816.82352941176
4,1984,332,96,3346,10,0,15546
5,1984,332,264.6923076923077,31567.61538461538,20.461538,4,39355.92307692308
6,1984,332,68.45454545454545,20372.54545454546,21.454546,3.7272727,70512.81818181818
7,1984,332,61.44444444444444,20496.55555555556,33.444443,2.5555556,52705.44444444445
8,1984,332,153,26437.5,50.25,1.75,71944.75
9,1984,332,386.04,31125.8,26.24,9.1199999,59985.12
1,1984,341,119.5294117647059,156378.4117647059,27.509804,11.372549,166015.0784313726
2,1984,341,1615.054054054054,868078.8378378379,87.594597,14.324325,8682427.594594594
3,1984,341,6351.851851851852,428673.8518518519,64.59259,17.629629,2642934.185185185
4,1984,341,1355,102508,27,13,277400
5,1984,341,781,571385.4,74.300003,22.1,4052546.1
7,1984,341,57792,1100016.75,197.5,68.75,8237299.5
9,1984,341,3409.692307692308,545348.3846153846,62.76923,13.692307,2130896.307692308
1,1984,342,1027.816901408451,161295.2183098592,53.274647,19.936619,151446.1197183099
2,1984,342,1041.630434782609,318042.2391304348,63.02174,26.130434,383788.7826086957
3,1984,342,365.1818181818182,66393.07575757576,24.59091,11.106061,109618.7121212121
4,1984,342,157.6153846153846,27211.30769230769,18.307692,9.3076925,36822.84615384616
5,1984,342,933.8333333333334,34364.38888888889,23.111111,8.5555553,115869.4444444444
6,1984,342,324.3125,51421.375,30.625,16.8125,114899.5
7,1984,342,216,26401.25,23,9.5,51954.5
8,1984,342,1282.166666666667,40003.16666666666,25,9.166667,82147.66666666667
9,1984,342,106.7777777777778,69513.48148148147,18.333334,15.185185,86644.66666666667
1,1984,351,894.5833333333334,336579.0833333333,51.333332,12.791667,840930.125
2,1984,351,135.1666666666667,686648.75,81.833336,14.666667,4331695.5
3,1984,351,5759.53125,763676.9375,116.84375,13.625,6626090.875
4,1984,351,118.3333333333333,206195.6666666667,48.666668,7.3333335,633089
5,1984,351,3719.384615384615,1998732.615384616,149.23077,18.153847,7563244.923076923
6,1984,351,189.5,55437,11,1,335690
8,1984,351,3604.5,2236080.4,231.60001,29.299999,21059098.9
9,1984,351,324.8421052631579,701260.1052631579,162.8421,11.263158,11825046.42105263
1,1984,352,8660.975806451614,349747.8306451613,49.161289,38.887096,235859.0806451613
2,1984,352,55236.4,958976.1142857143,96.257141,57.142857,839488.4
3,1984,352,9230.382978723404,329851.5531914894,41.531914,29.063829,283275
4,1984,352,994.5,168066,61,96.5,301819.5
5,1984,352,1541.88,126999.08,28.879999,18.040001,166478.12
6,1984,352,39.33333333333334,25639.33333333333,16,26,63054.66666666666
7,1984,352,309.25,42615,17.25,7,106965.5
8,1984,352,5189.857142857143,125746,25.142857,10.571428,105166.1428571429
9,1984,352,728.7333333333334,177596.6,37.200001,27.733334,228165.4
8,1984,353,0,36056537,633,43,83939359
9,1984,353,1163.75,17363344,1139.25,93,135169217
1,1984,354,1927.181818181818,584045.4545454546,30.727272,4.818182,227888.7272727273
3,1984,354,309.3333333333333,191870,68.666664,6,561748.6666666666
5,1984,354,379.75,139689.25,26,6,81224.75
6,1984,354,0,67411,18,6,252149
9,1984,354,313.6666666666667,176816,33.333332,7.6666665,433961.6666666667
1,1984,355,4352.305555555556,198283.4166666667,58.166668,24.888889,454457.9722222223
2,1984,355,5096,1851222.166666667,277.16666,21.833334,6152701.166666667
3,1984,355,175.4285714285714,41551.35714285715,25.571428,7.8571429,186631.1428571429
4,1984,355,98.5,16946.5,8.5,2.5,51487.5
5,1984,355,59.75,34170.5,11.5,23.25,230867.5
6,1984,355,55.5,24370.5,13,3.75,61054.5
7,1984,355,0,43102,9,1,180723
9,1984,355,8759.714285714286,1125295,210.28572,19.714285,4074923.714285714
1,1984,356,2020.991071428571,239758.8839285714,53.232143,31.330357,727490.8035714285
2,1984,356,224.1463414634146,78234.63414634146,29.317074,18,328183.1219512195
3,1984,356,725.1967213114754,140967.9016393443,38.918034,17.393442,701486.1475409836
4,1984,356,26.5,63224,46.5,6.5,188295.5
5,1984,356,189.6086956521739,175495.4782608696,33.652172,22.565218,680614.3478260869
6,1984,356,54.71428571428572,95791,38.142857,10,536798.8571428572
7,1984,356,2,79889,22,27,673607
8,1984,356,992.1666666666666,323271.3333333333,49.666668,6.1666665,1205139.833333333
9,1984,356,26.69230769230769,135625.6153846154,52.53846,16,708746.0769230769
1,1984,361,65.25,9645.375,9.875,13.125,96768.375
2,1984,361,0,449851,173,163,931868
3,1984,361,52.8,445640.6,189.8,74.5,2693315.4
9,1984,361,185.3333333333333,342604.8888888889,120.77778,40.555557,2271171.222222222
1,1984,362,487.0869565217391,122351.3913043478,61.04348,15.608696,778419.695652174
2,1984,362,47,59073.75,29.75,66.5,58929.5
3,1984,362,101.4,215364.6,89.5,8.6000004,2058223.2
5,1984,362,6,592591.5,183.5,13.5,3308921
7,1984,362,325.5,81657.5,121.5,60,311626.5
9,1984,362,5061,1597621.6,366.39999,17.200001,17267342
1,1984,369,438.6229508196722,181747.4918032787,66.147537,7.1967211,690985.5409836066
2,1984,369,2037.105263157895,374108.7368421053,82.105263,7.5789475,5839673.157894737
3,1984,369,293.9759036144578,80373.18072289157,45.698795,4.5421686,577874.8554216868
4,1984,369,12004.33333333333,351812.5,96,8.166667,897698.5
5,1984,369,2750.583333333334,443676.8333333333,92.333336,7.3333335,7195629.75
6,1984,369,154.125,73735.4375,29.0625,2.375,967212.25
7,1984,369,77,45241.5,15,2,82441.5
8,1984,369,142.6,412209.4,101.4,5.1999998,10317179.4
9,1984,369,798.0853658536586,271601.2195121951,87.268295,8.1585369,4167453.585365854
1,1984,371,333.6666666666667,281218.3888888889,58.666668,5.7222223,495591.4444444444
2,1984,371,405.8333333333333,579965.1666666666,100.16666,4.1666665,8173605.333333333
3,1984,371,3501.285714285714,1525394.428571429,225.71428,22,15150384.57142857
4,1984,371,27,30367,35.5,2,364224.5
5,1984,371,32.2,207966.6,66.400002,2.8,1231407.6
6,1984,371,19.66666666666667,7997.333333333333,10.666667,1.6666666,34670
7,1984,371,43,7638,13,1,23778
9,1984,371,3570.818181818182,2603434.545454545,654.54547,48.909092,90157763.72727273
1,1984,372,155.75,35285.25,19.875,3.875,111281.375
2,1984,372,2581.25,889737.5,109,14.75,3385970
3,1984,372,80.81818181818181,86392.90909090909,34.636364,5.6363635,426227.1818181818
5,1984,372,1725,2690419,583,49,12121142
6,1984,372,21,28843,12,2,110888
7,1984,372,0,70518,18,3,745455
9,1984,372,641.5,126077,48,14.5,894423.5
1,1984,381,702,106113.3254716981,41.900944,9.9669809,264183.6320754717
